Engagement	Location	Date	Result	Side 1	Leaders 1	Strength 1	Casualties 1	Side 2	Leaders 2	Strength 2	Casualties 2	Wikipedia Link	lat	lon
Western Desert Campaign	Western Desert (North Africa)|Western Desert, Egypt and Libya	{{Age in years, months, weeks and days|month1|=|06|day1|=|11|year1|=|1940|month2|=|02|day2|=|04|year2|=|1943}}	Allied victory	{{flagicon|British Empire}}	{{flagicon|United Kingdom}}			{{flagcountry|Kingdom of Italy}}	{{flagicon|Kingdom of Italy}}			https://en.wikipedia.org/wiki/Western_Desert_Campaign	23.4162027	25.66283
Fort Capuzzo	near Sallum|Sollum, Libya	June 1940 – November 1942										https://en.wikipedia.org/wiki/Fort_Capuzzo	31.575001	25.159321
Italian invasion of Egypt	Egypt	9–16 September 1940	Inconclusive&lt;!--It is inconclusive because this is the invasion that ended at Sidi Barrani in Egypt. This advance could be called an Italian success because it happened but it made no difference to the British and provoked Compass, which was the British victory--&gt;	{{flag|United Kingdom}}	{{flagicon|United Kingdom}}	1 reinforced brigade205 aircraftnaval support	40 killed	{{flagcountry|Kingdom of Italy}}	{{flagicon|Kingdom of Italy}}	Roughly 4 Division (military)|divisions300 aircraft	120 killed410 wounded	https://en.wikipedia.org/wiki/Italian_invasion_of_Egypt	26.820553	30.802498
Operation Compass	Sidi Barrani, Kingdom of Egypt|Egypt to El Agheila, Italian Libya|Libya	9 December 1940&nbsp;– 9 February 1941	British victory	{{flag|United Kingdom|abbr|=|on}}	Archibald Wavell, 1st Earl Wavell|Archibald WavellHenry Maitland WilsonRichard O'ConnorIven Mackay	36,000 soldiers120 guns275 tanks142 aircraft	500 killed1,373 wounded55 missing26 aircraft	{{flagicon|Italy|1861}}	{{KIA}}	150,000 soldiers1,600 guns600 tankettes and tanks331 aircraft	5,500+ killed10,000 wounded133,298 captured420 tanks845 guns564 aircraft (incl. reinforcements)	https://en.wikipedia.org/wiki/Operation_Compass	31.611111	25.92568
Attack on Nibeiwa, 9 December 1940	‘Alam Nibeiwa (Nibeiwa Hill)	9 December 1940	British victory	{{flagicon|United Kingdom}}	Richard O'Connor Reginald Savory	5,000 soldiers47 tanks	56 killed27 tanks disabled/broken down	{{flagicon|Kingdom of Italy}}	{{KIA}}	4,100 soldiers23 tanks	819 killed1,338 wounded2,000 prisoners28 tanks	https://en.wikipedia.org/wiki/Attack_on_Nibeiwa,_9_December_1940	31.23	25.53
Battle of Sidi Barrani	Sidi Barrani, Egypt	10–11 December 1940	British victory	{{flag|United Kingdom}}	{{flagicon|United Kingdom}}	36,000 soldiers120 guns275 tanks142 aircraft	624 soldiers	{{flagicon|Italy|1861}}	{{flagicon|Kingdom of Italy}}	60,000 soldiers250 guns120 tanks331 aircraft	{{circa|1,000}}	https://en.wikipedia.org/wiki/Battle_of_Sidi_Barrani	31.611111	25.92568
Siege of Giarabub	Giarabub, Libya	December 1940 – 21 March 1941	British victory	{{UK}}	{{flagicon|Australia}}	2 mechanised cavalry squadrons1 augmented infantry battalion	17 killed, 77 wounded (final assault only)	{{flagicon|Italy|1861}}	{{flagicon|Kingdom of Italy}}	2,100 Italians	250 killed1,300 prisoners26 field guns	https://en.wikipedia.org/wiki/Siege_of_Giarabub	29.7417348	24.5168391
Battle of Bardia	Bardia, Libya	3–5 January 1941	British victory	{{Plainlist|* |flag|Australia|* |flag|United Kingdom|}}	{{flagicon|Australia}}	16,000ref{{harvnb|Stockings|2009|p=3}}&lt;/ref&gt;	"130 killed, 326 woundedref name=""Long, p. 203""{{harvnb|Long|1952|p=203}}&lt;/ref&gt;"	{{flagcountry|Kingdom of Italy}}	{{flagicon|Kingdom of Italy}}	"45,000ref name=""Long, p. 199""{{harvnb|Long|1952|p=199}}&lt;/ref&gt;"	"1,703 killed, 3,740 wounded, 36,000 capturedref name=""Stockings, p. 276""{{harvnb|Stockings|2009|p=276}}&lt;/ref&gt;"	https://en.wikipedia.org/wiki/Battle_of_Bardia	31.7579946	25.0792189
Action at Mechili, 24 January 1941	Mechili, Libya	24 January 1941	British victory	{{flag|United Kingdom}}	{{flagicon|United Kingdom}}	145 tanksUnspecified number of guns	7 tanks	{{flagicon|Italy|1861}}	{{flagicon|Italy|1861}}	129 tanks25 tankettes84 guns5,000 men	9 tanks	https://en.wikipedia.org/wiki/Action_at_Mechili,_24_January_1941	32.1590255	22.280574
Capture of Kufra	Kufra, Libya	31 January – 1 March 1941	Allied victory	{{flagicon|Free French}}	{{flagicon|Free French}}	1 Free French Forces|FFF Battalion (350 men)1 LRDG (76 men)60 trucks	4 killed21 wounded	{{flagicon|Italy|1861}}	{{flagicon|Kingdom of Italy}}	2 Askari|Italian Askari Company (310 men)1 Auto-Saharan Company (120 men)20 trucks4 aircraft	3 killed4 wounded282 captured3 aircraft destroyed	https://en.wikipedia.org/wiki/Capture_of_Kufra	23.3112389	21.8568586
